filename,origin,process,rating,roaster,tags,taste notes,varietals
Frank Torres Natural Sidra.md,Colombia,Natural,3,Hydrangea Coffee Roasters,#coffees/filter,"Cranberry, Hops, Pink Guava",Sidra
White Lotus.md,Colombia,Washed,2,DAK Coffee Roasters,#coffees/filter,"Florals, Lime Keffir, White Chocolate",Java
Fig Twist.md,Bolivia,Natural,3,DAK Coffee Roasters,#coffees/espresso,"Dried Fig, Grape, Melon, Choco Cream",Caturra
Daterra Low-Caf.md,Brazil,Natural Anaerobic,3,Freidhats,"#coffees/filter, #coffees/espresso, #coffees/decaf","Bright, Toasted Hazelnut, Milk Chocolate","Laurina, Aramosa"
FST Estribi.md,Panama,Washed,4,Hydrangea Coffee Roasters,#coffees/filter,"Lychee, Mixed Berries, Jasmine",Geisha
Pepe Jijon Wave NC.md,Ecuador,Wave Washed,4,Hydrangea Coffee Roasters,#coffees/filter,"Pluots, Korean Pear, Champagne",Sidra New Cultivar
Tariku Kare.md,Ethiopia,Washed,,Hydrangea Coffee Roasters,#coffees/filter,"Tangerine, Raspberry, Yellow Florals",Landrace
Good Day.md,Thailand,"Natural, Washed",3,Rise Coffee,#coffees/espresso,"Orange, Smooth Chocolate, Caramel",Sirinya
Caballero.md,Honduras,Washed,4,Tim Wendelboe,"#coffees/espresso, #coffees/filter","Herbal, Dark Chocolate, Dried Fruits",Catuai
Santa Teresa Sophie Natural.md,Panama,Natural,4,Hydrangea Coffee Roasters,#coffees/filter,"White Guava, Violet, Loquat",Geisha
Princess Peach.md,Colombia,Thermal Shock Bacterial Double Anaerobic Washed,4,Uncle Ben,#coffees/espresso,"Rose, Peach Jelly, Mangosteen, Passionfruit, Skittles",Sidra
Power Nap.md,"Ethiopia, Colombia",Washed,4,Onyx,"#coffees/decaf, #coffees/filter, #coffees/espresso","Brown Sugar, Cocoa, Silky, Florals, Peach",
Cafe Granja La Esperanza.md,Colombia,Natural,,Hydrangea Coffee Roasters,#coffees/filter,"Blackcurrant, Umeshu, Granny Smith",SL34
Coco Bongo.md,Colombia,Coconut Culturing,3,DAK Coffee Roasters,#coffees/espresso,"Coconut, Pineapple Juice, Vanilla Milkshake",Caturra
Jasper.md,El Salvador,Natural,2,ONA Coffee,#coffees/filter,"Dark Cherry, Blackcurrant, Dried Fig, Mulberry",Harar
Pineapple Express.md,Peru,Natural,2,DAK Coffee Roasters,#coffees/filter,"Pineapple, Kiwi, Jasmine, Lemon, Cacao",Geisha
Daydreamer.md,Ethiopia,"Natural, Washed",2,Rise Coffee,#coffees/espresso,"Mixed Berry Jam, Apricot, Lychee, Watermelon",
Saenchai Estate.md,Thailand,Black Honey,,Rise Coffee,#coffees/filter,"Orange, Pineapple Juice, Honey Lemon, Black Tea","Bourbon, Caturra, Catimore"
Nacimiento.md,Honduras,Washed,4,Tim Wendelboe,#coffees/filter,"Herbal, Red Berries, Chocolate",Pacas
Las Palmas Hulia.md,Colombia,Passionfruit Maceration Anaerobic Washed,2,Uncle Ben,#coffees/espresso,"Passionfruit, Peach, Dried Lemon, Grapefruit, Green Tea, Citrus",Pink Bourbon
El Paraiso Letty Bermudez Geisha.md,Colombia,Double Fermentation Thermal Shock,5,Hydrangea Coffee Roasters,#coffees/filter,"White Peach, Jasmine Milk Tea, Dried Rose",Geisha
El Velo Natural.md,Panama,Natural,3,Hydrangea Coffee Roasters,#coffees/filter,"Rose, Passionfruit, Muscat Rouge",Geisha
